#,key#,piano_note,order,octave,name,sound/score_filename,keyboard_filename,clef,t_rest,root_t_note,octave_Δ,b,treble_note,octave_rest,-1Δ,0Δ,1Δ,treble_octaves,,b_rest,root_b_note,octave_Δ,b,bass_note,octave_rest,-1Δ,0Δ,1Δ,bass_octaves
134,70,F6#,1,6,F6#,134-70-6-treble-F6#,6-F6#,treble,r4,fis,''',4,r4 fis'''4,r4,fis''4,fis'''4,fis''''4,r4 fis''4 fis'''4 fis''''4,,,,,,r2,,,,,r1
137,70,G6b,1,6,G6b,137-70-6-treble-G6b,6-G6b,treble,r4,ges,''',4,r4 ges'''4,r4,ges''4,ges'''4,ges''''4,r4 ges''4 ges'''4 ges''''4,,,,,,r2,,,,,r1
135,71,G6,1,6,G6,135-71-6-treble-G6,6-G6,treble,r4,g,''',4,r4 g'''4,r4,g''4,g'''4,g''''4,r4 g''4 g'''4 g''''4,,,,,,r2,,,,,r1
136,72,G6#,1,6,G6#,136-72-6-treble-G6#,6-G6#,treble,r4,gis,''',4,r4 gis'''4,r4,gis''4,gis'''4,gis''''4,r4 gis''4 gis'''4 gis''''4,,,,,,r2,,,,,r1
140,72,A6b,1,6,A6b,140-72-6-treble-A6b,6-A6b,treble,r4,aes,''',4,r4 aes'''4,r4,aes''4,aes'''4,aes''''4,r4 aes''4 aes'''4 aes''''4,,,,,,r2,,,,,r1
138,73,A6,1,6,A6,138-73-6-treble-A6,6-A6,treble,r4,a,''',4,r4 a'''4,r4,a''4,a'''4,a''''4,r4 a''4 a'''4 a''''4,,,,,,r2,,,,,r1
139,74,A6#,1,6,A6#,139-74-6-treble-A6#,6-A6#,treble,r4,ais,''',4,r4 ais'''4,r4,ais''4,ais'''4,ais''''4,r4 ais''4 ais'''4 ais''''4,,,,,,r2,,,,,r1
142,74,B6b,1,6,B6b,142-74-6-treble-B6b,6-B6b,treble,r4,bes,''',4,r4 bes'''4,r4,bes''4,bes'''4,bes''''4,r4 bes''4 bes'''4 bes''''4,,,,,,r2,,,,,r1
141,75,B6,1,6,B6,141-75-6-treble-B6,6-B6,treble,r4,b,''',4,r4 b'''4,r4,b''4,b'''4,b''''4,r4 b''4 b'''4 b''''4,,,,,,r2,,,,,r1
143,76,C7,3,7,C7,143-76-7-treble-C7,7-C7,treble,r4,c,'''',4,r4 c''''4,r4,c''4,c'''4,c''''4,r4 c''4 c'''4 c''''4,,,,,,r2,,,,,r1
144,77,C7#,3,7,C7#,144-77-7-treble-C7#,7-C7#,treble,r4,cis,'''',4,r4 cis''''4,r4,cis''4,cis'''4,cis''''4,r4 cis''4 cis'''4 cis''''4,,,,,,r2,,,,,r1
147,77,D7b,3,7,D7b,147-77-7-treble-D7b,7-D7b,treble,r4,des,'''',4,r4 des''''4,r4,des''4,des'''4,des''''4,r4 des''4 des'''4 des''''4,,,,,,r2,,,,,r1
145,78,D7,3,7,D7,145-78-7-treble-D7,7-D7,treble,r4,d,'''',4,r4 d''''4,r4,d''4,d'''4,d''''4,r4 d''4 d'''4 d''''4,,,,,,r2,,,,,r1
146,79,D7#,3,7,D7#,146-79-7-treble-D7#,7-D7#,treble,r4,dis,'''',4,r4 dis''''4,r4,dis''4,dis'''4,dis''''4,r4 dis''4 dis'''4 dis''''4,,,,,,r2,,,,,r1
149,79,E7b,3,7,E7b,149-79-7-treble-E7b,7-E7b,treble,r4,ees,'''',4,r4 ees''''4,r4,ees''4,ees'''4,ees''''4,r4 ees''4 ees'''4 ees''''4,,,,,,r2,,,,,r1
148,80,E7,3,7,E7,148-80-7-treble-E7,7-E7,treble,r4,e,'''',4,r4 e''''4,r4,e''4,e'''4,e''''4,r4 e''4 e'''4 e''''4,,,,,,r2,,,,,r1
150,81,F7,3,7,F7,150-81-7-treble-F7,7-F7,treble,r4,f,'''',4,r4 f''''4,r4,f''4,f'''4,f''''4,r4 f''4 f'''4 f''''4,,,,,,r2,,,,,r1
151,82,F7#,3,7,F7#,151-82-7-treble-F7#,7-F7#,treble,r4,fis,'''',4,r4 fis''''4,r4,fis''4,fis'''4,fis''''4,r4 fis''4 fis'''4 fis''''4,,,,,,r2,,,,,r1
154,82,G7b,3,7,G7b,154-82-7-treble-G7b,7-G7b,treble,r4,ges,'''',4,r4 ges''''4,r4,ges''4,ges'''4,ges''''4,r4 ges''4 ges'''4 ges''''4,,,,,,r2,,,,,r1
152,83,G7,3,7,G7,152-83-7-treble-G7,7-G7,treble,r4,g,'''',4,r4 g''''4,r4,g''4,g'''4,g''''4,r4 g''4 g'''4 g''''4,,,,,,r2,,,,,r1
153,84,G7#,3,7,G7#,153-84-7-treble-G7#,7-G7#,treble,r4,gis,'''',4,r4 gis''''4,r4,gis''4,gis'''4,gis''''4,r4 gis''4 gis'''4 gis''''4,,,,,,r2,,,,,r1
157,84,A7b,3,7,A7b,157-84-7-treble-A7b,7-A7b,treble,r4,aes,'''',4,r4 aes''''4,r4,aes''4,aes'''4,aes''''4,r4 aes''4 aes'''4 aes''''4,,,,,,r2,,,,,r1
155,85,A7,3,7,A7,155-85-7-treble-A7,7-A7,treble,r4,a,'''',4,r4 a''''4,r4,a''4,a'''4,a''''4,r4 a''4 a'''4 a''''4,,,,,,r2,,,,,r1
156,86,A7#,3,7,A7#,156-86-7-treble-A7#,7-A7#,treble,r4,ais,'''',4,r4 ais''''4,r4,ais''4,ais'''4,ais''''4,r4 ais''4 ais'''4 ais''''4,,,,,,r2,,,,,r1
159,86,B7b,3,7,B7b,159-86-7-treble-B7b,7-B7b,treble,r4,bes,'''',4,r4 bes''''4,r4,bes''4,bes'''4,bes''''4,r4 bes''4 bes'''4 bes''''4,,,,,,r2,,,,,r1
158,87,B7,3,7,B7,158-87-7-treble-B7,7-B7,treble,r4,b,'''',4,r4 b''''4,r4,b''4,b'''4,b''''4,r4 b''4 b'''4 b''''4,,,,,,r2,,,,,r1
160,88,C8,3,8,C8,160-88-8-treble-C8,8-C8,treble,r4,c,''''',4,r4 c'''''4,r4,c'''4,c''''4,c'''''4,r4 c'''4 c''''4 c'''''4,,,,,,r2,,,,,r1
